cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hprecalc13,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,firstgen,re_all,living18,sex,StemMaj,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,SFcareer,SFotherwork,SFdiscuss,SFperform,id,DE_group_temp,hdc17,DC_student
1,7,0.3836000000000004,7,5,-1.0412,0,0,1,5,0.5182000000000002,2,-0.31579999999999986,0,White,Off-campus (rent/apartment),Female,0,6,0,0.0,-1.0654885001324295,-0.0,-5,-1.0,0.0,3,3,3,2,2,3,2,2,3,4,3,4,3,2,2,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,3,1,2,20,1,1,0
1,5,-1.6163999999999996,7,6,-0.0411999999999999,0,0,0,5,0.5182000000000002,2,-0.31579999999999986,0,White,Off-campus (rent/apartment),Male,0,8,0,0.0,-1.0654885001324295,-0.0,25,2.0,3.0,3,3,3,2,3,2,2,3,2,2,1,2,2,3,3,4.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,,2,1,3,2,21,1,2,1
1,6,-0.6163999999999996,7,7,0.9588000000000001,1,1,1,5,0.5182000000000002,2,-0.31579999999999986,0,Black/African American,Off-campus (rent/apartment),Male,0,5,0,0.0,-1.0654885001324295,-0.0,19,1.4,2.4,2,2,2,3,3,3,4,3,3,3,3,2,3,3,2,4.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,2,2,2,2,22,1,2,1
0,6,-0.6163999999999996,7,7,0.9588000000000001,1,0,0,5,0.5182000000000002,3,0.6842000000000001,0,White,Off-campus (rent/apartment),Female,0,7,0,0.0,-1.0654885001324295,-0.0,0,-0.5,0.5,1,2,2,3,4,3,3,3,2,3,2,2,3,2,2,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3,3,3,2,23,1,3,1
1,7,0.3836000000000004,7,5,-1.0412,0,0,1,4,-0.4817999999999998,2,-0.31579999999999986,0,Other/Multiracial/Unknown,On-campus (residence hall),Male,0,2,0,0.0,-1.0654885001324295,-0.0,13,0.8,1.8,3,3,3,3,3,2,3,2,3,4,3,3,4,3,3,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,2,3,2,2,24,1,1,0
1,8,1.3836000000000004,7,7,0.9588000000000001,0,0,1,4,-0.4817999999999998,3,0.6842000000000001,0,White,On-campus (residence hall),Male,0,40,1,2.801443050908528,1.7359545507760985,1.7359545507760985,8,0.30000000000000004,1.3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,3.0,2.0,2.0,,3.0,3.0,6.0,6.0,6.0,6.0,6.0,3,4,3,2,25,2,7,1
1,6,-0.6163999999999996,7,5,-1.0412,1,0,1,5,0.5182000000000002,3,0.6842000000000001,0,Black/African American,Off-campus (rent/apartment),Male,0,5,0,0.0,-1.0654885001324295,-0.0,19,1.4,2.4,2,2,2,3,2,3,3,2,3,3,3,3,3,2,2,3.0,2.0,2.0,,2.0,2.0,4.0,5.0,5.0,,5.0,3,2,3,3,26,1,2,1
1,5,-1.6163999999999996,5,6,-0.0411999999999999,1,1,1,4,-0.4817999999999998,3,0.6842000000000001,1,Asian,With family (commuting),Female,0,4,0,0.0,-1.0654885001324295,-0.0,28,2.3,3.3,2,2,2,2,2,3,3,2,2,2,1,2,1,1,2,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3,2,3,2,27,1,1,0
0,7,0.3836000000000004,6,6,-0.0411999999999999,0,0,0,6,1.5182000000000002,3,0.6842000000000001,0,White,On-campus (residence hall),Female,0,47,1,3.5078349135452576,2.442346413412828,2.442346413412828,8,0.30000000000000004,1.3,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,3,1,1,1,28,2,7,1
0,5,-1.6163999999999996,5,6,-0.0411999999999999,0,0,0,3,-1.4817999999999998,3,0.6842000000000001,1,White,Off-campus (rent/apartment),Female,0,7,0,0.0,-1.0654885001324295,-0.0,23,1.7999999999999998,2.8,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3,1,3,1,29,1,2,1
0,7,0.3836000000000004,7,8,1.9588,0,0,0,6,1.5182000000000002,3,0.6842000000000001,0,Other/Multiracial/Unknown,With family (commuting),Female,0,3,0,0.0,-1.0654885001324295,-0.0,9,0.4,1.4,4,2,3,4,3,3,3,4,3,3,3,4,3,3,3,6.0,,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,3,3,2,2,30,1,3,1
1,7,0.3836000000000004,7,5,-1.0412,0,0,0,6,1.5182000000000002,4,1.6842000000000001,0,White,Off-campus (rent/apartment),Male,0,6,0,0.0,-1.0654885001324295,-0.0,-14,-1.9,-0.8999999999999999,1,2,2,2,2,2,1,2,3,3,3,3,3,3,2,5.0,4.0,4.0,4.0,5.0,5.0,,6.0,,6.0,6.0,4,3,2,2,31,1,2,1
1,7,0.3836000000000004,7,5,-1.0412,0,1,1,3,-1.4817999999999998,2,-0.31579999999999986,0,Asian,With family (commuting),Female,0,0,0,0.0,-1.0654885001324295,-0.0,9,0.4,1.4,3,2,3,3,2,2,2,3,2,1,2,2,2,2,2,6.0,,,6.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,2,2,2,1,32,0,1,0
0,6,-0.6163999999999996,7,5,-1.0412,1,0,0,4,-0.4817999999999998,2,-0.31579999999999986,1,Hispanic/Latino,On-campus (residence hall),Female,0,3,0,0.0,-1.0654885001324295,-0.0,8,0.30000000000000004,1.3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,2,2,1,1,33,1,2,1
0,5,-1.6163999999999996,7,5,-1.0412,0,0,0,5,0.5182000000000002,1,-1.3157999999999999,1,Hispanic/Latino,With family (commuting),Female,0,6,0,0.0,-1.0654885001324295,-0.0,13,0.8,1.8,3,2,3,3,2,4,3,3,2,2,3,3,3,3,3,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1,4,1,3,34,1,1,0
1,6,-0.6163999999999996,7,6,-0.0411999999999999,1,0,0,4,-0.4817999999999998,1,-1.3157999999999999,1,Hispanic/Latino,With family (commuting),Female,0,4,0,0.0,-1.0654885001324295,-0.0,0,-0.5,0.5,3,4,4,3,3,4,3,3,3,3,4,4,4,3,2,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1,2,3,3,35,1,3,1
1,8,1.3836000000000004,7,5,-1.0412,0,0,1,4,-0.4817999999999998,3,0.6842000000000001,0,White,On-campus (residence hall),Female,0,10,0,0.0,-1.0654885001324295,-0.0,-5,-1.0,0.0,3,3,3,3,2,4,3,3,4,4,4,4,4,4,4,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,5.0,6.0,3,1,3,2,36,1,1,0
1,6,-0.6163999999999996,6,8,1.9588,1,0,0,6,1.5182000000000002,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Male,1,15,1,0.3143097270305558,-0.7511787731018736,-0.7511787731018736,-11,-1.6,-0.6000000000000001,3,2,2,2,3,3,3,3,3,2,2,3,3,3,2,5.0,5.0,4.0,5.0,5.0,,5.0,4.0,4.0,4.0,,2,2,3,3,37,2,4,1
1,6,-0.6163999999999996,7,7,0.9588000000000001,1,0,0,5,0.5182000000000002,2,-0.31579999999999986,0,Hispanic/Latino,With family (commuting),Female,0,11,0,0.0,-1.0654885001324295,-0.0,23,1.7999999999999998,2.8,3,3,3,3,2,3,3,3,2,2,1,2,2,2,3,5.0,,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,2,3,3,3,38,1,2,1
1,5,-1.6163999999999996,7,7,0.9588000000000001,0,0,0,3,-1.4817999999999998,3,0.6842000000000001,1,Hispanic/Latino,With family (commuting),Female,0,12,1,0.04895460163625032,-1.0165338984961791,-1.0165338984961791,5,0.0,1.0,2,3,3,4,3,3,4,4,2,3,2,2,2,3,3,5.0,4.0,4.0,,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3,3,3,2,39,2,4,1
0,5,-1.6163999999999996,7,8,1.9588,1,0,1,4,-0.4817999999999998,1,-1.3157999999999999,1,Hispanic/Latino,On-campus (residence hall),Male,1,11,0,0.0,-1.0654885001324295,-0.0,13,0.8,1.8,4,4,4,3,3,4,3,3,3,3,2,2,2,4,4,4.0,4.0,3.0,4.0,,4.0,6.0,7.0,6.0,6.0,6.0,1,1,3,1,40,1,2,1
1,5,-1.6163999999999996,7,6,-0.0411999999999999,0,0,1,5,0.5182000000000002,1,-1.3157999999999999,0,White,Off-campus (rent/apartment),Male,0,5,0,0.0,-1.0654885001324295,-0.0,1,-0.4,0.6,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,2,2,3,41,1,1,0
0,7,0.3836000000000004,7,6,-0.0411999999999999,0,1,1,4,-0.4817999999999998,2,-0.31579999999999986,0,Asian,With family (commuting),Female,0,61,1,4.98443452369319,3.918946023560761,3.918946023560761,22,1.7000000000000002,2.7,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3.0,4.0,4.0,,5.0,4.0,6.0,6.0,6.0,5.0,6.0,2,2,2,3,42,2,5,1
0,6,-0.6163999999999996,7,6,-0.0411999999999999,1,0,0,4,-0.4817999999999998,1,-1.3157999999999999,1,Other/Multiracial/Unknown,With family (commuting),Female,0,6,0,0.0,-1.0654885001324295,-0.0,33,2.8,3.8,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1,3,1,1,43,1,3,1
1,7,0.3836000000000004,7,7,0.9588000000000001,0,1,1,5,0.5182000000000002,2,-0.31579999999999986,0,White,With family (commuting),Female,0,47,1,3.5337701668952626,2.468281666762833,2.468281666762833,-8,-1.3,-0.30000000000000004,3,2,2,2,2,2,3,3,2,3,3,3,3,4,4,4.0,3.0,4.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,2,1,1,3,44,2,5,1
1,6,-0.6163999999999996,7,7,0.9588000000000001,1,0,1,4,-0.4817999999999998,3,0.6842000000000001,1,Asian,With family (commuting),Female,0,5,0,0.0,-1.0654885001324295,-0.0,32,2.7,3.7,2,2,3,3,4,4,4,4,2,3,2,2,2,3,2,5.0,4.0,,4.0,,3.0,5.0,4.0,4.0,5.0,5.0,3,3,2,2,45,1,1,0
1,6,-0.6163999999999996,6,6,-0.0411999999999999,1,1,1,3,-1.4817999999999998,3,0.6842000000000001,1,Hispanic/Latino,With family (commuting),Female,0,4,0,0.0,-1.0654885001324295,-0.0,29,2.4,3.4,1,2,2,2,3,3,2,2,2,3,3,3,3,3,3,,,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,3,3,2,2,46,1,2,1
1,6,-0.6163999999999996,7,5,-1.0412,1,1,0,5,0.5182000000000002,3,0.6842000000000001,0,Other/Multiracial/Unknown,With family (commuting),Female,0,1,0,0.0,-1.0654885001324295,-0.0,-15,-2.0,-1.0,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3,1,2,1,47,1,2,1
1,6,-0.6163999999999996,7,6,-0.0411999999999999,0,0,1,5,0.5182000000000002,3,0.6842000000000001,1,Hispanic/Latino,With family (commuting),Male,0,5,0,0.0,-1.0654885001324295,-0.0,28,2.3,3.3,2,2,2,2,3,3,2,3,4,3,4,3,4,2,3,4.0,3.0,3.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,3,3,4,2,48,1,3,1
0,8,1.3836000000000004,7,5,-1.0412,1,0,0,5,0.5182000000000002,3,0.6842000000000001,1,Hispanic/Latino,On-campus (residence hall),Male,1,24,1,1.27421813393526,0.2087296338028306,0.2087296338028306,25,2.0,3.0,3,2,3,3,3,3,3,4,3,3,4,3,4,3,3,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,3,2,2,1,49,2,5,1
0,5,-1.6163999999999996,5,5,-1.0412,0,0,0,5,0.5182000000000002,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Female,0,6,0,0.0,-1.0654885001324295,-0.0,7,0.19999999999999996,1.2,2,2,2,2,3,3,3,3,1,2,1,1,1,3,3,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,2,3,3,2,50,1,3,1
0,5,-1.6163999999999996,7,5,-1.0412,0,1,0,6,1.5182000000000002,3,0.6842000000000001,1,Hispanic/Latino,On-campus (residence hall),Female,0,11,0,0.0,-1.0654885001324295,-0.0,32,2.7,3.7,3,3,3,3,4,3,2,3,3,3,3,3,2,4,4,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,,6.0,6.0,3,1,2,1,51,1,2,1
0,7,0.3836000000000004,6,7,0.9588000000000001,1,1,0,5,0.5182000000000002,2,-0.31579999999999986,1,Black/African American,On-campus (residence hall),Female,0,46,1,3.497567167288655,2.4320786671562256,2.4320786671562256,25,2.0,3.0,2,2,2,4,4,3,4,4,3,2,3,3,3,3,3,3.0,3.0,,3.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,2,2,3,2,52,2,7,1
0,6,-0.6163999999999996,6,6,-0.0411999999999999,1,0,0,6,1.5182000000000002,1,-1.3157999999999999,1,Other/Multiracial/Unknown,With family (commuting),Female,0,0,0,0.0,-1.0654885001324295,-0.0,14,0.8999999999999999,1.9,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4.0,4.0,4.0,3.0,3.0,4.0,6.0,5.0,,6.0,5.0,1,3,2,3,53,0,2,1
0,7,0.3836000000000004,7,6,-0.0411999999999999,1,0,1,3,-1.4817999999999998,2,-0.31579999999999986,0,White,With family (commuting),Male,0,1,0,0.0,-1.0654885001324295,-0.0,11,0.6000000000000001,1.6,4,4,3,3,3,3,3,4,3,4,3,3,4,4,4,2.0,3.0,,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,2,2,4,2,54,1,3,1
1,5,-1.6163999999999996,7,7,0.9588000000000001,1,0,0,4,-0.4817999999999998,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Male,1,3,0,0.0,-1.0654885001324295,-0.0,-3,-0.8,0.2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2,2,2,2,55,1,3,1
0,6,-0.6163999999999996,7,5,-1.0412,1,0,0,4,-0.4817999999999998,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Female,1,11,0,0.0,-1.0654885001324295,-0.0,-9,-1.4,-0.4,2,1,2,3,3,4,4,3,3,3,2,3,2,2,2,4.0,4.0,5.0,4.0,4.0,5.0,,,4.0,4.0,4.0,2,1,1,2,56,1,2,1
0,6,-0.6163999999999996,7,7,0.9588000000000001,0,1,0,5,0.5182000000000002,3,0.6842000000000001,0,Asian,With family (commuting),Male,0,36,1,2.482449357209851,1.4169608570774215,1.4169608570774215,6,0.09999999999999998,1.1,1,1,1,4,4,4,3,4,4,4,4,4,4,2,2,3.0,4.0,4.0,4.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,3,1,2,2,57,2,7,1
0,6,-0.6163999999999996,7,6,-0.0411999999999999,1,0,1,2,-2.4818,1,-1.3157999999999999,0,Hispanic/Latino,With family (commuting),Male,0,4,0,0.0,-1.0654885001324295,-0.0,19,1.4,2.4,3,3,4,2,3,2,4,2,3,4,3,3,3,3,3,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,1,3,1,1,58,1,2,1
0,5,-1.6163999999999996,6,5,-1.0412,0,0,1,6,1.5182000000000002,1,-1.3157999999999999,1,Hispanic/Latino,With family (commuting),Male,0,23,1,1.1117029224994297,0.04621442236700024,0.04621442236700024,0,-0.5,0.5,2,2,2,3,3,3,2,3,4,4,4,4,3,3,2,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,1,2,2,2,59,2,7,1
1,6,-0.6163999999999996,7,8,1.9588,0,0,0,5,0.5182000000000002,3,0.6842000000000001,0,Asian,With family (commuting),Female,0,26,1,1.4879204164951836,0.4224319163627541,0.4224319163627541,21,1.6,2.6,3,3,3,2,2,2,3,2,4,4,4,4,4,3,4,1.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,6.0,6.0,6.0,3,1,2,2,60,2,7,1
0,8,1.3836000000000004,6,5,-1.0412,1,1,0,4,-0.4817999999999998,2,-0.31579999999999986,1,Hispanic/Latino,With family (commuting),Female,1,7,0,0.0,-1.0654885001324295,-0.0,11,0.6000000000000001,1.6,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,5.0,6.0,5.0,5.0,5.0,5.0,,4.0,4.0,4.0,4.0,2,3,2,3,61,1,3,1
0,8,1.3836000000000004,7,7,0.9588000000000001,1,1,0,4,-0.4817999999999998,3,0.6842000000000001,0,White,On-campus (residence hall),Male,0,7,0,0.0,-1.0654885001324295,-0.0,12,0.7,1.7,4,4,4,2,3,3,3,3,4,4,3,3,4,3,3,2.0,1.0,1.0,1.0,2.0,1.0,7.0,6.0,6.0,7.0,,3,2,3,1,62,1,1,0
1,8,1.3836000000000004,6,6,-0.0411999999999999,1,0,1,7,2.5182,2,-0.31579999999999986,0,White,With family (commuting),Female,0,3,0,0.0,-1.0654885001324295,-0.0,-8,-1.3,-0.30000000000000004,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,2,2,3,3,63,1,2,1
0,7,0.3836000000000004,7,5,-1.0412,1,1,0,4,-0.4817999999999998,1,-1.3157999999999999,1,Asian,With family (commuting),Male,1,55,1,4.370982695727528,3.3054941955950983,3.3054941955950983,34,2.9,3.9,2,2,2,3,3,3,4,3,2,2,2,1,1,2,2,,,,6.0,6.0,,3.0,3.0,2.0,3.0,2.0,1,3,2,3,64,2,5,1
1,6,-0.6163999999999996,6,5,-1.0412,1,0,0,5,0.5182000000000002,2,-0.31579999999999986,0,Hispanic/Latino,With family (commuting),Female,1,10,0,0.0,-1.0654885001324295,-0.0,30,2.5,3.5,3,3,2,2,2,2,2,1,3,2,3,3,3,3,3,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2,3,2,1,65,1,3,1
