lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
MHWdmental	~~	MHWdmental	1	1		0.121119739485363	0.00564616832329332	21.4516699733662	0	0.110053452921057	0.132186026049668	0.121119739485363	0.0975444865227273	0.0975444865227273
MHWdexhaust	~~	MHWdexhaust	1	1		0.15161334839167	0.00679656806549842	22.3073390762183	0	0.138292319764818	0.164934377018522	0.15161334839167	0.116234062989064	0.116234062989064
MHWdsleep	~~	MHWdsleep	1	1		0.187359475954561	0.00809071590952401	23.1573420757501	0	0.171501964162749	0.203216987746374	0.187359475954561	0.144943636920276	0.144943636920276
MHWdfinancial	~~	MHWdfinancial	1	1		0.3509791695531	0.0128554609090824	27.3019514457963	0	0.325782929166636	0.376175409939565	0.3509791695531	0.238800931029959	0.238800931029959
QIadmin	~~	QIadmin	1	1		0.259636550413589	0.0107120912543638	24.2377089821578	0	0.238641237355929	0.280631863471248	0.259636550413589	0.19730748444381	0.19730748444381
QIstudent	~~	QIstudent	1	1		0.219512296240595	0.00939194247097066	23.3724063918705	0	0.20110442725262	0.23792016522857	0.219512296240595	0.166740676124955	0.166740676124955
QIadvisor	~~	QIadvisor	1	1		0.17722865983828	0.00773920633429843	22.9001078641413	0	0.162060094154131	0.192397225522429	0.17722865983828	0.140378242915059	0.140378242915059
QIfaculty	~~	QIfaculty	1	1		0.144866629394994	0.00679809301367997	21.3098922158722	0	0.131542611924628	0.15819064686536	0.144866629394994	0.11781005644783	0.11781005644783
QIstaff	~~	QIstaff	1	1		0.176606196465839	0.00768663483720219	22.9757494932751	0	0.161540669022612	0.191671723909066	0.176606196465839	0.143433112746974	0.143433112746974
Belong	~~	Belong	1	1		0.348869562219552	0.0155443584194228	22.4434841764609	0	0.318403179554702	0.379335944884403	0.710663761372898	0.710663761372898	0.710663761372898
Gains	~~	Gains	1	1		0.247590480898792	0.0135218145334721	18.3104479273771	0	0.221088211407556	0.274092750390027	0.900137657354207	0.900137657354207	0.900137657354207
SupportEnv	~~	SupportEnv	1	1		0.282754697004181	0.0143433373355724	19.7133129054235	0	0.25464227240835	0.310867121600011	0.672312009342781	0.672312009342781	0.672312009342781
Satisf	~~	Satisf	1	1		0.225558547682801	0.0130023098527351	17.3475751799095	0	0.200074488655609	0.251042606709992	0.622082697997144	0.622082697997144	0.622082697997144
DevAdj	~~	DevAdj	1	1		0.0324772285178703	0.00570373815074062	5.69402515675675	1.24078789465187e-08	0.0212981071651716	0.043656349870569	0.228653166306075	0.228653166306075	0.228653166306075
EmoDiss	~~	EmoDiss	1	1		1.01754748336352	0.0363963255794217	27.9574233707493	0	0.946211996058264	1.08888297066879	0.938684565707238	0.938684565707238	0.938684565707238
QualEngag	~~	QualEngag	1	1		0.991958391736159	0.0374363930806794	26.4971678654614	0	0.918584409586942	1.06533237388537	0.939121906974628	0.939121906974628	0.939121906974628
x_FASt	~~	x_FASt	1	1		0.249643110123183	0	NA	NA	0.249643110123183	0.249643110123183	0.249643110123183	1	0.249643110123183
x_FASt	~~	credit_dose_c	1	1		0.697481589934558	0	NA	NA	0.697481589934558	0.697481589934558	0.697481589934558	0.752944085821133	0.697481589934558
x_FASt	~~	XZ_c	1	1		0.367973415783528	0	NA	NA	0.367973415783528	0.367973415783528	0.367973415783528	0.524043813434151	0.367973415783528
x_FASt	~~	cohort	1	1		-0.00432883473445531	0	NA	NA	-0.00432883473445531	-0.00432883473445531	-0.00432883473445531	-0.0173472280012383	-0.00432883473445531
x_FASt	~~	hgrades_c	1	1		-0.0121655019280354	0	NA	NA	-0.0121655019280354	-0.0121655019280354	-0.0121655019280354	-0.0262106805002762	-0.0121655019280354
x_FASt	~~	bparented_c	1	1		-0.00764381830748852	0	NA	NA	-0.00764381830748852	-0.00764381830748852	-0.00764381830748852	-0.0160142294823682	-0.00764381830748852
x_FASt	~~	pell	1	1		-0.015617746597955	0	NA	NA	-0.015617746597955	-0.015617746597955	-0.015617746597955	-0.0630942106346769	-0.015617746597955
x_FASt	~~	hapcl	1	1		0.00240608421666966	0	NA	NA	0.00240608421666966	0.00240608421666966	0.00240608421666966	0.0110228207973149	0.00240608421666966
x_FASt	~~	hprecalc13	1	1		-0.00398634125334588	0	NA	NA	-0.00398634125334588	-0.00398634125334588	-0.00398634125334588	-0.0165107044921508	-0.00398634125334588
x_FASt	~~	hchallenge_c	1	1		-0.00797668632825583	0	NA	NA	-0.00797668632825583	-0.00797668632825583	-0.00797668632825583	-0.0133261340590789	-0.00797668632825583
x_FASt	~~	cSFcareer_c	1	1		-0.00683455810370289	0	NA	NA	-0.00683455810370289	-0.00683455810370289	-0.00683455810370289	-0.0167845910977362	-0.00683455810370289
credit_dose_c	~~	credit_dose_c	1	1		3.4373239216459	0	NA	NA	3.4373239216459	3.4373239216459	3.4373239216459	1	3.4373239216459
credit_dose_c	~~	XZ_c	1	1		2.4607444088528	0	NA	NA	2.4607444088528	2.4607444088528	2.4607444088528	0.944424452578615	2.4607444088528
credit_dose_c	~~	cohort	1	1		-0.0288910166010326	0	NA	NA	-0.0288910166010326	-0.0288910166010326	-0.0288910166010326	-0.0312012121715393	-0.0288910166010326
credit_dose_c	~~	hgrades_c	1	1		0.236857223007578	0	NA	NA	0.236857223007578	0.236857223007578	0.236857223007578	0.13752588862506	0.236857223007578
credit_dose_c	~~	bparented_c	1	1		-0.0153649243589258	0	NA	NA	-0.0153649243589258	-0.0153649243589258	-0.0153649243589258	-0.0086751237924911	-0.0153649243589258
credit_dose_c	~~	pell	1	1		-0.07837835408378	0	NA	NA	-0.07837835408378	-0.07837835408378	-0.07837835408378	-0.0853329658891225	-0.07837835408378
credit_dose_c	~~	hapcl	1	1		0.104642796469198	0	NA	NA	0.104642796469198	0.104642796469198	0.104642796469198	0.129193546998788	0.104642796469198
credit_dose_c	~~	hprecalc13	1	1		-0.0131423862851846	0	NA	NA	-0.0131423862851846	-0.0131423862851846	-0.0131423862851846	-0.0146694867921218	-0.0131423862851846
credit_dose_c	~~	hchallenge_c	1	1		-0.0115547322278086	0	NA	NA	-0.0115547322278086	-0.0115547322278086	-0.0115547322278086	-0.00520224870792848	-0.0115547322278086
credit_dose_c	~~	cSFcareer_c	1	1		-0.0584808969778018	0	NA	NA	-0.0584808969778018	-0.0584808969778018	-0.0584808969778018	-0.0387047184608879	-0.0584808969778018
XZ_c	~~	XZ_c	1	1		1.97505005778051	0	NA	NA	1.97505005778051	1.97505005778051	1.97505005778051	1	1.97505005778051
XZ_c	~~	cohort	1	1		-0.0203182163908472	0	NA	NA	-0.0203182163908472	-0.0203182163908472	-0.0203182163908472	-0.0289477891596247	-0.0203182163908472
XZ_c	~~	hgrades_c	1	1		0.244603646056506	0	NA	NA	0.244603646056506	0.244603646056506	0.244603646056506	0.187362179445341	0.244603646056506
XZ_c	~~	bparented_c	1	1		-0.00100757436711071	0	NA	NA	-0.00100757436711071	-0.00100757436711071	-0.00100757436711071	-0.000750487635043557	-0.00100757436711071
XZ_c	~~	pell	1	1		-0.0571385256940657	0	NA	NA	-0.0571385256940657	-0.0571385256940657	-0.0571385256940657	-0.082067444150733	-0.0571385256940657
XZ_c	~~	hapcl	1	1		0.101937242967832	0	NA	NA	0.101937242967832	0.101937242967832	0.101937242967832	0.166029608802887	0.101937242967832
XZ_c	~~	hprecalc13	1	1		-0.0124700134666521	0	NA	NA	-0.0124700134666521	-0.0124700134666521	-0.0124700134666521	-0.0183623724271545	-0.0124700134666521
XZ_c	~~	hchallenge_c	1	1		0.00801936910497953	0	NA	NA	0.00801936910497953	0.00801936910497953	0.00801936910497953	0.00476313186793446	0.00801936910497953
XZ_c	~~	cSFcareer_c	1	1		-0.0446342849128815	0	NA	NA	-0.0446342849128815	-0.0446342849128815	-0.0446342849128815	-0.0389708290990328	-0.0446342849128815
cohort	~~	cohort	1	1		0.24943779207747	0	NA	NA	0.24943779207747	0.24943779207747	0.24943779207747	1	0.24943779207747
cohort	~~	hgrades_c	1	1		-0.00304499378751776	0	NA	NA	-0.00304499378751776	-0.00304499378751776	-0.00304499378751776	-0.00656316527656402	-0.00304499378751776
cohort	~~	bparented_c	1	1		0.00915282093655086	0	NA	NA	0.00915282093655086	0.00915282093655086	0.00915282093655086	0.0191835652524704	0.00915282093655086
cohort	~~	pell	1	1		0.00812059667520149	0	NA	NA	0.00812059667520149	0.00812059667520149	0.00812059667520149	0.0328199371986074	0.00812059667520149
cohort	~~	hapcl	1	1		-0.00883659600889529	0	NA	NA	-0.00883659600889529	-0.00883659600889529	-0.00883659600889529	-0.0404991201803873	-0.00883659600889529
cohort	~~	hprecalc13	1	1		-0.00472323033715633	0	NA	NA	-0.00472323033715633	-0.00472323033715633	-0.00472323033715633	-0.0195708154293226	-0.00472323033715633
cohort	~~	hchallenge_c	1	1		0.0394767081444731	0	NA	NA	0.0394767081444731	0.0394767081444731	0.0394767081444731	0.0659783210419463	0.0394767081444731
cohort	~~	cSFcareer_c	1	1		0.00403304510019052	0	NA	NA	0.00403304510019052	0.00403304510019052	0.00403304510019052	0.00990859481674547	0.00403304510019052
hgrades_c	~~	hgrades_c	1	1		0.862946528871299	0	NA	NA	0.862946528871299	0.862946528871299	0.862946528871299	1	0.862946528871299
hgrades_c	~~	bparented_c	1	1		-0.0410666071997156	0	NA	NA	-0.0410666071997156	-0.0410666071997156	-0.0410666071997156	-0.0462756327314709	-0.0410666071997156
hgrades_c	~~	pell	1	1		-0.0728725840451721	0	NA	NA	-0.0728725840451721	-0.0728725840451721	-0.0728725840451721	-0.158344563889879	-0.0728725840451721
hgrades_c	~~	hapcl	1	1		0.0189322787123889	0	NA	NA	0.0189322787123889	0.0189322787123889	0.0189322787123889	0.046650108825479	0.0189322787123889
hgrades_c	~~	hprecalc13	1	1		0.0199555431875707	0	NA	NA	0.0199555431875707	0.0199555431875707	0.0199555431875707	0.0444551964094656	0.0199555431875707
hgrades_c	~~	hchallenge_c	1	1		0.0214532882145096	0	NA	NA	0.0214532882145096	0.0214532882145096	0.0214532882145096	0.0192771745591389	0.0214532882145096
hgrades_c	~~	cSFcareer_c	1	1		0.019946358949373	0	NA	NA	0.019946358949373	0.019946358949373	0.019946358949373	0.0263470384310112	0.019946358949373
bparented_c	~~	bparented_c	1	1		0.912618001515245	0	NA	NA	0.912618001515245	0.912618001515245	0.912618001515245	1	0.912618001515245
bparented_c	~~	pell	1	1		0.0248427887120349	0	NA	NA	0.0248427887120349	0.0248427887120349	0.0248427887120349	0.0524912314803586	0.0248427887120349
bparented_c	~~	hapcl	1	1		-0.0213298743848776	0	NA	NA	-0.0213298743848776	-0.0213298743848776	-0.0213298743848776	-0.0511076011997983	-0.0213298743848776
bparented_c	~~	hprecalc13	1	1		-0.0200576265298292	0	NA	NA	-0.0200576265298292	-0.0200576265298292	-0.0200576265298292	-0.0434496165169506	-0.0200576265298292
bparented_c	~~	hchallenge_c	1	1		-0.0476379309965736	0	NA	NA	-0.0476379309965736	-0.0476379309965736	-0.0476379309965736	-0.0416245768213921	-0.0476379309965736
bparented_c	~~	cSFcareer_c	1	1		-0.0340503604345672	0	NA	NA	-0.0340503604345672	-0.0340503604345672	-0.0340503604345672	-0.0437358242496245	-0.0340503604345672
pell	~~	pell	1	1		0.245435927942468	0	NA	NA	0.245435927942468	0.245435927942468	0.245435927942468	1	0.245435927942468
pell	~~	hapcl	1	1		-0.031048790783329	0	NA	NA	-0.031048790783329	-0.031048790783329	-0.031048790783329	-0.143455544249836	-0.031048790783329
pell	~~	hprecalc13	1	1		-0.0347879187381753	0	NA	NA	-0.0347879187381753	-0.0347879187381753	-0.0347879187381753	-0.145314951469869	-0.0347879187381753
pell	~~	hchallenge_c	1	1		-0.0157185837761213	0	NA	NA	-0.0157185837761213	-0.0157185837761213	-0.0157185837761213	-0.0264841355145428	-0.0157185837761213
pell	~~	cSFcareer_c	1	1		-0.00374936537199919	0	NA	NA	-0.00374936537199919	-0.00374936537199919	-0.00374936537199919	-0.00928643051267904	-0.00374936537199919
hapcl	~~	hapcl	1	1		0.190860725384255	0	NA	NA	0.190860725384255	0.190860725384255	0.190860725384255	1	0.190860725384255
hapcl	~~	hprecalc13	1	1		0.0063219898394043	0	NA	NA	0.0063219898394043	0.0063219898394043	0.0063219898394043	0.0299465248039907	0.0063219898394043
hapcl	~~	hchallenge_c	1	1		0.0267932497768789	0	NA	NA	0.0267932497768789	0.0267932497768789	0.0267932497768789	0.0511927622181404	0.0267932497768789
hapcl	~~	cSFcareer_c	1	1		-0.00277642409538596	0	NA	NA	-0.00277642409538596	-0.00277642409538596	-0.00277642409538596	-0.00779807912517686	-0.00277642409538596
hprecalc13	~~	hprecalc13	1	1		0.233506059249676	0	NA	NA	0.233506059249676	0.233506059249676	0.233506059249676	1	0.233506059249676
hprecalc13	~~	hchallenge_c	1	1		0.00769260824869441	0	NA	NA	0.00769260824869441	0.00769260824869441	0.00769260824869441	0.0132881950650841	0.00769260824869441
