cohort,hgrades,bparented,bparented_c,pell,hapcl,hprecalc13,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,firstgen,re_all,living18,sex,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,EmoDiss,QualEngag,DevAdj,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,SFcareer,SFotherwork,SFdiscuss,SFperform
0,7,2.5984382192494597,-0.24822257994679164,1,1,1,3.1054034806179516,0.11118304282124525,2.794851948456415,-0.3964578393378413,1,Black/African American,On-campus (residence hall),Woman,50,1,3.8,4.053966666666667,4.053966666666667,,,,3,3,3,3,2,2,3,3,4,3,3,2,3,3,3,2,3,2,2,2,2,3,4,5,4,5,3,3,3,3
1,4,2.2575385246851285,-0.5891222745111229,0,1,1,1.7731376224514022,-1.2210828153453042,3.443422305730469,0.2521125179362125,0,Hispanic/Latino,Off-campus (rent/apartment),Woman,1,0,-1.1,-0.8460333333333334,-0.0,,,,3,2,3,3,3,3,4,2,2,2,3,3,3,3,3,3,2,2,3,3,2,4,5,4,4,4,3,3,3,3
1,7,3.4674102272759453,0.6207494280796939,0,1,0,2.689170202677303,-0.30505023511940355,2.6874026948033563,-0.5039070929909002,1,White,Off-campus (rent/apartment),Woman,19,1,0.7,0.9539666666666666,0.9539666666666666,,,,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,3,4,5,5,3,3,3,2,3
0,8,4.145701315807498,1.2990405166112469,1,1,1,2.0638450675897992,-0.9303753702069071,3.1279946368342504,-0.06331515096000606,0,Asian,With family (commuting),Woman,39,1,2.7,2.953966666666667,2.953966666666667,,,,4,3,2,3,3,4,3,3,3,4,3,3,2,2,3,2,3,2,3,2,3,6,6,5,6,7,4,3,4,3
0,8,2.3445617765413576,-0.5020990226548938,1,0,1,3.9530230797171795,0.9588026419204732,0.64222916022329,-2.5490806275709663,0,Hispanic/Latino,On-campus (residence hall),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,2,2,3,3,4,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3,5,6,5,4,3,2,2,2,3
1,8,6.540848634043303,3.6941878348470514,0,0,1,2.353070424367111,-0.6411500134295953,3.3320100995449966,0.14070031175074016,0,White,On-campus (residence hall),Man,7,0,-0.5,-0.24603333333333333,-0.0,,,,3,3,2,3,3,2,3,3,3,3,2,2,3,3,3,2,2,2,2,2,3,5,4,4,3,4,3,3,3,3
1,5,3.085135799101089,0.23847499990483767,0,0,1,3.0609959518855487,0.06677551408884241,2.0377374947377507,-1.1535722930565058,1,Asian,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,3,2,3,4,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,4,3,4,3,4,2,3,3,3
1,8,4.131340822954818,1.2846800237585665,0,1,1,3.718111703347067,0.7238912655503609,2.2329454152827144,-0.958364372511542,1,Hispanic/Latino,On-campus (residence hall),Man,33,1,2.1,2.3539666666666665,2.3539666666666665,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,2,3,3,3,5,4,5,4,5,2,2,2,3
1,7,2.1290419488308294,-0.717618850365422,1,1,0,3.104416463854533,0.11019602605782675,3.9222240250211957,0.7309142372269393,1,White,With family (commuting),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,4,3,3,4,4,2,3,3,3
0,7,2.7574382830552566,-0.08922251614099475,0,0,0,3.7097253852869687,0.7155049474902624,3.8824589660811055,0.6911491782868491,1,White,Off-campus (rent/apartment),Woman,2,0,-1.0,-0.7460333333333333,-0.0,,,,4,3,3,3,3,3,3,2,2,3,3,2,2,3,3,2,2,3,2,3,2,6,6,5,6,5,3,3,3,3
1,5,3.705826605244968,0.8591658060487166,1,1,1,2.811378397653619,-0.18284204014308747,1.7185319589107755,-1.472777828883481,1,White,Off-campus (rent/apartment),Woman,37,1,2.5,2.753966666666667,2.753966666666667,,,,2,3,2,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,6,4,5,5,5,3,3,3,3
1,4,1.709048646311511,-1.1376121528847403,0,0,1,4.563169198538472,1.5689487607417658,4.137429122502919,0.9461193347086625,1,Hispanic/Latino,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,4,4,4,3,3,4,4,3,4,3,4,3,3,4,3,1,1,1,1,2,1,6,6,6,5,5,3,3,3,4
1,6,3.390635582490635,0.5439747832943835,1,0,0,2.244492920141024,-0.7497275176556824,3.4131058021712226,0.22179601437696617,0,Hispanic/Latino,Off-campus (rent/apartment),Man,4,0,-0.8,-0.5460333333333334,-0.0,,,,2,2,1,2,3,3,2,3,3,2,2,3,2,2,3,3,3,3,3,3,3,6,5,4,2,4,2,2,3,2
0,4,3.8754861632242243,1.028825364027973,0,1,0,2.548324883528209,-0.4458955542684975,3.0739066775303914,-0.11740311026386507,1,Hispanic/Latino,With family (commuting),Man,12,1,0.0,0.2539666666666667,0.2539666666666667,,,,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,3,5,3,4,4,3,2,2,3,2
0,8,1.2465716580370805,-1.600089141159171,0,1,1,2.9149157505401413,-0.07930468725656503,4.320253960268312,1.1289441724740557,1,Asian,With family (commuting),Woman,34,1,2.2,2.453966666666667,2.453966666666667,,,,3,3,2,2,2,2,3,2,3,2,1,2,2,3,2,3,2,2,3,3,3,4,5,6,4,4,3,2,2,3
0,5,3.1157602182589015,0.2690994190626501,1,0,0,3.714677258284238,0.7204568204875317,2.645800225966,-0.5455095618282564,0,White,Off-campus (rent/apartment),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,2,1,1,2,2,2,4,5,7,6,4,2,2,3,3
1,7,2.96546891210767,0.11880811291141846,0,0,0,2.9051735598305077,-0.08904687796619859,4.7162449141461416,1.524935126351885,1,Hispanic/Latino,On-campus (residence hall),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,3,2,3,2,2,3,2,3,2,2,2,1,3,2,3,1,2,3,3,3,6,4,3,5,3,2,2,2,2
0,6,1.2465983901407736,-1.6000624090554778,1,1,0,3.0596862597659555,0.06546582196924922,4.409752438303457,1.2184426505092003,0,Hispanic/Latino,Off-campus (rent/apartment),Woman,10,0,-0.2,0.05396666666666666,0.0,,,,2,1,2,3,2,3,3,2,1,2,2,3,3,3,3,2,3,3,3,3,3,5,5,4,4,2,2,2,3,2
1,6,3.2896312320955112,0.44297043289925986,1,1,1,3.263135437234679,0.2689149994379725,3.1197217096222967,-0.07158807817195978,1,Asian,With family (commuting),Woman,25,1,1.3,1.5539666666666667,1.5539666666666667,,,,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,3,3,2,3,4,3,4,3,3,3,2,3
1,5,3.54449267552462,0.6978318763283688,1,1,0,2.588597193028384,-0.40562324476832234,3.452170692235075,0.26086090444081833,0,White,On-campus (residence hall),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,2,3,3,2,4,4,4,6,1,3,3,3,3
1,5,2.44015118684295,-0.4065096123533012,1,1,0,4.3363914883013965,1.3421710505046902,2.521246031428356,-0.6700637563659004,0,Asian,With family (commuting),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,1,2,2,1,2,4,5,5,4,6,3,2,3,3
1,7,1.4224089873929548,-1.4242518118032965,1,0,1,3.1507481274076152,0.1565276896109089,2.601868867812442,-0.5894409199818145,1,Hispanic/Latino,On-campus (residence hall),Man,31,1,1.9,2.1539666666666664,2.1539666666666664,,,,3,2,2,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,5,5,3,5,4,2,3,3,3
0,6,3.0695684972203705,0.22290769802411914,1,0,0,1.46463642217548,-1.5295840156212264,3.5680432765951413,0.37673348880088486,1,Asian,With family (commuting),Woman,19,1,0.7,0.9539666666666666,0.9539666666666666,,,,3,2,2,3,3,2,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,6,5,6,6,3,3,2,3,3
0,3,1.9821010633915506,-0.8645597358047008,0,0,1,2.982194369313482,-0.012026068483224517,2.8828971650244597,-0.30841262276979675,0,Asian,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,2,2,3,2,3,2,2,2,2,2,3,1,3,2,2,2,3,2,2,2,6,4,4,3,2,2,2,2,2
1,7,2.5445308307035543,-0.302129968492697,0,0,1,3.734731010262383,0.7405105724656766,1.7623424631635118,-1.4289673246307446,1,Hispanic/Latino,With family (commuting),Woman,16,1,0.4,0.6539666666666667,0.6539666666666667,,,,3,3,2,3,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,3,5,5,4,3,4,2,2,3,3
0,8,1.9292216076863702,-0.9174391915098812,1,0,0,2.551828075385119,-0.4423923624115873,3.0299100708169124,-0.161399716977344,1,White,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,4,4,3,3,3,3,3,4,4,3,3,4,3,3,2,1,2,1,2,2,5,6,5,5,5,3,3,3,3
1,6,2.90016792972917,0.053507130532918445,0,0,0,2.6786180397473354,-0.31560239804937096,4.518391000093051,1.3270812122987947,0,Hispanic/Latino,On-campus (residence hall),Man,6,0,-0.6,-0.3460333333333333,-0.0,,,,1,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,2,2,2,4,6,5,4,5,3,2,2,3
1,7,3.0791928661243557,0.23253206692810435,0,0,0,3.8407303229472283,0.846509885150522,4.17550197453972,0.9841921867454633,1,White,With family (commuting),Man,3,0,-0.9,-0.6460333333333333,-0.0,,,,3,3,2,3,3,3,3,2,3,3,2,2,2,3,3,3,2,3,2,3,2,4,5,4,3,4,3,2,2,3
0,6,2.2528769702767466,-0.5937838289195048,0,1,0,2.6346259135247894,-0.35959452427191696,2.028343240355379,-1.1629665474388773,1,Hispanic/Latino,With family (commuting),Woman,25,1,1.3,1.5539666666666667,1.5539666666666667,,,,1,3,2,2,3,2,2,2,3,2,2,3,3,3,2,2,3,3,4,3,3,5,5,5,3,5,3,2,3,3
1,8,2.4552743465176716,-0.39138645267857974,1,1,0,3.2479755533068855,0.25375511551017915,2.6751079174682117,-0.5162018703260447,1,Hispanic/Latino,On-campus (residence hall),Woman,9,0,-0.3,-0.046033333333333315,-0.0,,,,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,4,2,4,6,4,3,3,2,3
1,6,3.6835424643673984,0.836881665171147,0,1,0,3.3237935510586314,0.32957311326192507,2.861027648448302,-0.3302821393459543,0,Hispanic/Latino,On-campus (residence hall),Woman,35,1,2.3,2.5539666666666667,2.5539666666666667,,,,3,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,6,5,5,5,5,3,3,3,3
1,7,2.7884651479590503,-0.05819565123720105,1,0,0,3.5008638303719293,0.506643392575223,2.5384463129391643,-0.6528634748550921,1,Black/African American,On-campus (residence hall),Woman,2,0,-1.0,-0.7460333333333333,-0.0,,,,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,2,2,2,2,3,3,3,5,6,4,3,2,3,3
0,7,3.9829081395702457,1.1362473403739943,1,1,0,1.3410001854243936,-1.6532202523723127,3.623445227992466,0.4321354401982096,0,Black/African American,Off-campus (rent/apartment),Man,12,1,0.0,0.2539666666666667,0.2539666666666667,,,,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,2,3,2,2,2,2,4,3,5,4,5,3,3,4,3
0,6,1.2640809182454038,-1.5825798809508476,0,0,0,2.296388484430722,-0.6978319533659842,3.3997406673585493,0.20843087956429285,1,Hispanic/Latino,Off-campus (rent/apartment),Man,11,0,-0.1,0.15396666666666667,0.0,,,,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,3,4,5,3,3,3,3,3
1,5,2.601185841355952,-0.24547495784029927,0,1,0,0.9284405291922702,-2.065779908604436,4.41515632262929,1.2238465348350336,1,White,With family (commuting),Woman,50,1,3.8,4.053966666666667,4.053966666666667,,,,1,1,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2,3,4,4,3,4,2,4,4,3,3,2,2,1
1,7,1.1241906499102028,-1.7224701492860486,1,1,1,2.3966105779192066,-0.5976098598774997,3.485971009516222,0.29466122172196574,0,Hispanic/Latino,With family (commuting),Man,28,1,1.6,1.8539666666666668,1.8539666666666668,,,,3,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,4,4,5,4,5,3,3,2,3
1,5,1.4986055518418293,-1.348055247354422,1,1,0,4.355477719523937,1.3612572817272306,3.5669111014062227,0.37560131361196625,0,Hispanic/Latino,Off-campus (rent/apartment),Man,2,0,-1.0,-0.7460333333333333,-0.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,5,6,4,4,5,3,3,2,2
1,5,4.539067767644075,1.6924069684478233,0,1,0,3.177147999366208,0.18292756156950185,2.7992149351593216,-0.3920948526349348,1,White,On-campus (residence hall),Woman,16,1,0.4,0.6539666666666667,0.6539666666666667,,,,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,1,2,2,1,5,4,4,4,2,3,3,3,2
0,5,3.1915385074251543,0.34487770822890296,1,0,0,3.2427124539300336,0.24849201613332728,2.1001781990374178,-1.0911315887568387,0,Hispanic/Latino,On-campus (residence hall),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,4,3,3,3,3,4,3,3,2,3,3,3,3,4,2,2,2,1,1,1,5,4,6,4,6,3,3,3,3
1,6,2.050847853523952,-0.7958129456722993,0,0,1,2.106928212390337,-0.8872922254063695,3.0015329818262533,-0.18977680596800317,1,Hispanic/Latino,On-campus (residence hall),Woman,10,0,-0.2,0.05396666666666666,0.0,,,,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,2,2,3,3,6,5,6,4,5,3,2,3,3
1,6,2.934188364951646,0.08752756575539467,1,1,0,2.750853462958647,-0.24336697483805914,5.6494842890899655,2.458174501295709,1,White,On-campus (residence hall),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,2,2,3,3,3,3,3,3,2,2,3,3,4,3,2,2,2,2,2,2,4,4,5,3,4,3,3,3,3
1,7,3.907567469628285,1.0609066704320336,1,0,1,3.9134211887447536,0.9192007509480473,2.293630579220158,-0.8976792085740986,0,Hispanic/Latino,Off-campus (rent/apartment),Woman,17,1,0.5,0.7539666666666667,0.7539666666666667,,,,3,4,4,3,4,3,3,4,3,3,4,3,3,3,4,2,1,1,2,1,2,5,3,5,6,5,3,3,3,3
0,5,4.666520834140146,1.8198600349438943,1,0,0,3.8464483329968253,0.852227895200119,4.090864148783475,0.8995543609892187,0,Asian,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,2,1,2,2,2,2,3,3,2,2,2,2,3,2,2,1,3,3,3,2,5,3,3,4,2,2,2,1,3
1,7,3.389392292076782,0.5427314928805305,1,1,0,1.6364645027081612,-1.357755935088545,3.4974710077077162,0.3061612199134598,0,Other/Multiracial/Unknown,Off-campus (rent/apartment),Woman,13,1,0.1,0.35396666666666665,0.35396666666666665,,,,3,3,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,3,3,3,6,2,4,5,4,3,2,2,3
1,5,2.0198629868610385,-0.8267978123352129,1,1,1,3.8214279675263323,0.827207529729626,2.265890560068358,-0.9254192277258984,0,Hispanic/Latino,With family (commuting),Woman,15,1,0.3,0.5539666666666667,0.5539666666666667,,,,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,4,4,3,3,4,3,4,3,1,3,2,2,2,2,2
0,6,2.6369748249005647,-0.2096859742956867,0,1,0,4.216539349993518,1.2223189121968114,4.360144351955819,1.1688345641615627,1,Other/Multiracial/Unknown,On-campus (residence hall),Man,9,0,-0.3,-0.046033333333333315,-0.0,,,,2,2,1,3,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,3,3,2,3,4,2,3,2,1,2,3
1,4,3.7279428467190514,0.8812820475228,1,0,0,1.1394432523400442,-1.8547771854566621,2.7487278266965376,-0.44258196109771886,0,Asian,Off-campus (rent/apartment),Woman,10,0,-0.2,0.05396666666666666,0.0,,,,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,2,2,3,2,2,6,5,4,5,5,3,2,2,3
0,6,1.568516601755501,-1.2781441974407504,0,1,0,3.1609041183885767,0.16668368059187033,1.6799741149516318,-1.5113356728426246,1,White,With family (commuting),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,1,1,2,2,1,5,5,3,5,2,3,2,3,3
1,5,3.8560481959989463,1.009387396802695,1,0,1,1.6621664691301978,-1.3320539686665085,3.1159979909059454,-0.07531179688831102,1,Hispanic/Latino,With family (commuting),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,2,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,3,2,2,2,6,5,4,2,2,2,2,3,3
1,6,1.7193602131593562,-1.1273005860368952,0,0,0,1.8058763508218585,-1.1883440869748478,2.3412184995280287,-0.8500912882662277,1,Hispanic/Latino,Off-campus (rent/apartment),Man,4,0,-0.8,-0.5460333333333334,-0.0,,,,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,1,4,3,4,5,5,3,3,3,3,3,3
1,7,3.896716764409937,1.0500559652136858,0,1,1,1.6963274912655413,-1.297892946531165,3.650701479315253,0.45939169152099657,0,Black/African American,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,6,5,4,3,4,3,2,2,3
0,4,3.1548536782262047,0.3081928790299533,1,0,0,2.828350242108325,-0.16587019568838146,3.8723514286997536,0.6810416409054971,0,White,With family (commuting),Woman,8,0,-0.4,-0.14603333333333335,-0.0,,,,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,5,6,6,6,5,3,4,3,3
1,7,3.085874585326759,0.2392137861305077,0,1,0,4.2302728494183075,1.2360524116216012,4.532890121760987,1.3415803339667307,1,Hispanic/Latino,Off-campus (rent/apartment),Woman,14,1,0.2,0.4539666666666667,0.4539666666666667,,,,3,2,1,2,2,3,1,2,3,2,2,3,1,2,2,2,2,3,2,2,2,3,4,3,5,4,3,2,2,3
0,7,1.2363514873949812,-1.6103093118012701,0,0,1,2.6892015391214796,-0.3050188986752267,5.005424711524719,1.8141149237304623,1,Hispanic/Latino,On-campus (residence hall),Man,7,0,-0.5,-0.24603333333333333,-0.0,,,,2,3,3,2,3,2,3,3,2,2,2,2,3,2,2,2,2,1,1,2,1,4,4,4,3,4,2,2,2,2
1,8,4.192856953913532,1.3461961547172807,1,1,0,2.341695750483591,-0.6525246873131154,3.292686980730439,0.10137719293618241,0,Hispanic/Latino,Off-campus (rent/apartment),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,2,4,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,2,5,4,5,4,2,3,3,3,3
1,7,1.7990418600149514,-1.0476189391813,1,0,1,2.7761397304141244,-0.2180807073825819,3.2070367011711256,0.015726913376869156,1,Hispanic/Latino,With family (commuting),Woman,18,1,0.6,0.8539666666666667,0.8539666666666667,,,,3,3,1,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,4,3,2,5,5,5,4,4,3,3,3,3
0,5,3.4176944842456467,0.5710336850493953,0,1,0,0.5663502757654817,-2.4278701620312244,4.118199337458467,0.9268895496642107,1,White,With family (commuting),Man,6,0,-0.6,-0.3460333333333333,-0.0,,,,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,2,2,3,6,4,4,4,2,3,3,3,2
1,7,2.0171755245441108,-0.8294852746521406,1,0,0,2.9653002554524033,-0.028920182344303047,5.088190459290909,1.8968806714966528,1,Other/Multiracial/Unknown,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,2,2,2,2,4,2,2,2,3,2,2,3,3,3,3,2,2,2,3,1,6,5,6,5,5,3,3,3,2
0,8,2.6067345614282362,-0.23992623776801514,1,1,0,2.8727091077767506,-0.12151133001995573,2.4634592708687606,-0.7278505169254958,1,Hispanic/Latino,With family (commuting),Man,44,1,3.2,3.453966666666667,3.453966666666667,,,,3,2,2,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3,6,4,4,3,4,3,2,2,2
1,5,2.499166277726412,-0.3474945214698395,1,1,0,3.459245585006897,0.4650251472101905,3.4578102091420617,0.26650042134780527,1,Hispanic/Latino,Off-campus (rent/apartment),Man,5,0,-0.7,-0.4460333333333333,-0.0,,,,3,2,2,3,3,2,2,3,2,3,2,4,2,2,2,4,4,3,3,3,3,4,4,4,2,4,2,2,2,2
1,6,1.275133312704289,-1.5715274864919624,0,1,0,3.0485616232219637,0.05434118542525734,1.4062485779473466,-1.7850612098469099,1,Hispanic/Latino,With family (commuting),Man,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,3,2,3,4,4,3,3,3,3,2,3,2,3,3,3,3,2,2,2,2,4,4,3,5,3,3,3,2,3
1,6,3.7789533568033025,0.9322925576070511,1,1,0,2.840175674441178,-0.1540447633555284,2.1941600605204714,-0.997149727273785,0,Asian,Off-campus (rent/apartment),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,2,1,1,2,2,2,5,5,6,4,3,3,3,3,3
1,6,2.9643502630955054,0.11768946389925405,0,0,0,2.7366436445214974,-0.2575767932752089,3.811288934287745,0.6199791464934887,0,White,With family (commuting),Woman,0,0,-1.2,-0.9460333333333333,-0.0,,,,4,3,4,3,3,3,3,4,3,3,3,3,3,4,3,2,1,1,1,1,1,7,6,5,4,5,3,3,3,3
1,6,3.589561455565796,0.7429006563695446,0,1,0,2.790090224801739,-0.20413021299496714,2.584369226854543,-0.6069405609397136,1,Other/Multiracial/Unknown,Off-campus (rent/apartment),Woman,4,0,-0.8,-0.5460333333333334,-0.0,,,,3,3,2,3,3,2,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2,5,5,5,5,3,2,2,2,3
1,7,2.5061908014857512,-0.3404699977105001,1,0,0,3.5398372732182,0.5456168354214936,3.5933431624482313,0.4020333746539748,1,Hispanic/Latino,With family (commuting),Woman,16,1,0.4,0.6539666666666667,0.6539666666666667,,,,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,3,3,2,3,3
1,4,3.611507794748113,0.7648469955518618,1,0,0,2.261003116850649,-0.7332173209460575,2.7435228618881418,-0.4477869259061147,0,Asian,Off-campus (rent/apartment),Woman,7,0,-0.5,-0.24603333333333333,-0.0,,,,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,1,2,1,2,1,2,6,4,5,5,5,3,3,3,3
