cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hapcl_c,hprecalc13,hprecalc13_c,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,hacadpr13,hacadpr13_c,tcare,tcare_c,firstgen,re_all,living18,sex,StemMaj,StemMaj_c,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,id,DE_group_temp,hdc17,DC_student
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,2,-2.4880000000000004,3,0.6989999999999998,13,3.2376000000000005,0,-2.9496,1,Other/Multiracial/Unknown,Off-campus (rent/apartment),Female,1,0.7518,7,0,0.0,-0.5745506169396439,-0.0,27,2.2,3.2,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3.0,3.0,4.0,3.0,4.0,4.0,7.0,6.0,6.0,6.0,6.0,19,1,1,0
1,6,-0.5270000000000001,7,7,0.9551999999999996,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,1,Asian,Off-campus (rent/apartment),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,14,0.8999999999999999,1.9,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,20,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,18,8.2376,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,21,1.6,2.6,4,4,4,3,3,3,4,3,2,3,2,2,3,3,3,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,21,1,3,1
1,7,0.47299999999999986,6,8,1.9551999999999996,1,0,-0.2468,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Black/African American,On-campus (residence hall),Female,0,-0.2482,1,0,0.0,-0.5745506169396439,-0.0,-8,-1.3,-0.30000000000000004,2,2,2,3,3,2,2,3,3,3,3,3,3,3,2,3.0,3.0,3.0,3.0,4.0,,4.0,4.0,5.0,5.0,5.0,22,1,1,0
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,1,0.7518,2,0,0.0,-0.5745506169396439,-0.0,19,1.4,2.4,3,4,4,3,2,3,3,3,3,2,2,2,2,3,4,4.0,4.0,4.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,,23,1,3,1
1,6,-0.5270000000000001,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,23,13.2376,3,0.05039999999999978,1,White,Off-campus (rent/apartment),Female,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,3,-0.2,0.8,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,24,1,3,1
1,7,0.47299999999999986,6,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,8,-1.7623999999999995,8,5.0504,0,Asian,With family (commuting),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,28,2.3,3.3,3,3,3,2,2,2,2,3,1,2,2,2,2,1,1,,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,25,1,3,1
1,7,0.47299999999999986,7,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,30,2.5,3.5,3,3,3,3,3,3,4,4,3,3,3,3,2,3,3,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,26,1,3,1
1,5,-1.5270000000000001,5,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,22,1,1.0649734367403734,0.49042281980072944,0.49042281980072944,8,0.30000000000000004,1.3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,27,2,6,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,4,1.6989999999999998,8,-1.7623999999999995,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,1,0.7518,0,0,0.0,-0.5745506169396439,-0.0,20,1.5,2.5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,6.0,28,0,1,0
1,5,-1.5270000000000001,7,7,0.9551999999999996,0,1,0.7532,1,0.6564,6,1.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,6,0,0.0,-0.5745506169396439,-0.0,19,1.4,2.4,3,3,3,2,2,2,3,3,2,2,3,2,2,4,4,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,29,1,1,0
0,7,0.47299999999999986,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,6,1.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,40,1,2.813264612469473,2.238713995529829,2.238713995529829,9,0.4,1.4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,5.0,4.0,30,2,6,1
0,7,0.47299999999999986,6,7,0.9551999999999996,1,0,-0.2468,1,0.6564,2,-2.4880000000000004,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,12,0.7,1.7,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3.0,3.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,31,1,2,1
0,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,6,1.5119999999999996,3,0.6989999999999998,23,13.2376,3,0.05039999999999978,1,Asian,With family (commuting),Male,0,-0.2482,13,1,0.1907223471633211,-0.38382826977632284,-0.38382826977632284,17,1.2,2.2,2,2,2,4,3,4,3,4,3,2,3,3,3,3,3,,4.0,,5.0,5.0,4.0,,4.0,4.0,,4.0,32,2,7,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,18,8.2376,13,10.0504,1,White,With family (commuting),Male,1,0.7518,5,0,0.0,-0.5745506169396439,-0.0,-13,-1.8,-0.8,1,2,1,3,3,2,3,2,2,1,1,2,1,4,3,4.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,,6.0,6.0,33,1,1,0
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-11,-1.6,-0.6000000000000001,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,,6.0,6.0,5.0,6.0,34,1,2,1
0,5,-1.5270000000000001,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,1,-1.3010000000000002,13,3.2376000000000005,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,8,0,0.0,-0.5745506169396439,-0.0,16,1.1,2.1,3,2,3,3,4,4,4,4,3,2,3,3,3,3,3,4.0,4.0,4.0,3.0,4.0,4.0,,6.0,6.0,7.0,6.0,35,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,1,0.6564,3,-1.4880000000000004,1,-1.3010000000000002,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,56,1,4.495661533131468,3.9211109161918243,3.9211109161918243,17,1.2,2.2,2,2,2,2,3,3,3,3,2,2,1,2,2,2,2,3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0,7.0,6.0,,36,2,4,1
1,7,0.47299999999999986,7,8,1.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,13,10.0504,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,14,0.8999999999999999,1.9,2,2,2,2,1,2,1,2,4,4,3,4,3,2,1,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,37,1,2,1
0,7,0.47299999999999986,7,7,0.9551999999999996,0,1,0.7532,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,18,8.2376,0,-2.9496,0,Asian,Off-campus (rent/apartment),Female,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,28,2.3,3.3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,,4.0,5.0,5.0,5.0,5.0,6.0,,,6.0,6.0,38,1,2,1
1,8,1.4729999999999999,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,6,1.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,8,5.0504,0,Hispanic/Latino,Off-campus (rent/apartment),Male,1,0.7518,9,0,0.0,-0.5745506169396439,-0.0,15,1.0,2.0,3,3,3,3,2,2,2,2,3,2,3,3,3,3,3,3.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,39,1,1,0
0,5,-1.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,6,0,0.0,-0.5745506169396439,-0.0,16,1.1,2.1,2,2,2,4,4,4,4,4,4,3,3,4,4,3,3,,4.0,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,,40,1,1,0
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,1,Other/Multiracial/Unknown,With family (commuting),Male,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,3,-0.2,0.8,2,2,2,3,3,3,2,2,2,3,3,2,3,2,3,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,41,0,2,1
0,8,1.4729999999999999,7,7,0.9551999999999996,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,18,15.0504,0,White,On-campus (residence hall),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,3,-0.2,0.8,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,2.0,2.0,,,2.0,2.0,6.0,6.0,7.0,6.0,6.0,42,1,1,0
0,6,-0.5270000000000001,6,7,0.9551999999999996,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,1,-1.3010000000000002,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,27,2.2,3.2,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,5.0,6.0,5.0,43,1,2,1
0,5,-1.5270000000000001,7,5,-1.0448000000000004,0,1,0.7532,0,-0.3436,6,1.5119999999999996,3,0.6989999999999998,28,18.2376,3,0.05039999999999978,1,Black/African American,On-campus (residence hall),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,24,1.9,2.9,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,,,3.0,,4.0,,5.0,5.0,5.0,5.0,6.0,44,1,2,1
1,7,0.47299999999999986,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,Off-campus (rent/apartment),Male,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-9,-1.4,-0.4,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,4.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,45,1,2,1
0,8,1.4729999999999999,7,6,-0.044800000000000395,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,4,0,0.0,-0.5745506169396439,-0.0,12,0.7,1.7,1,1,1,3,3,4,4,4,3,2,4,2,3,2,3,4.0,3.0,3.0,4.0,3.0,5.0,5.0,,,4.0,3.0,46,1,3,1
1,8,1.4729999999999999,7,8,1.9551999999999996,0,0,-0.2468,0,-0.3436,1,-3.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Other/Multiracial/Unknown,On-campus (residence hall),Female,0,-0.2482,0,0,0.0,-0.5745506169396439,-0.0,4,-0.09999999999999998,0.9,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,47,0,1,0
0,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,6,0.09999999999999998,1.1,3,2,2,4,4,4,4,4,3,3,3,3,3,4,4,5.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,6.0,4.0,48,1,2,1
0,7,0.47299999999999986,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,5,0.5119999999999996,2,-0.30100000000000016,8,-1.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Male,1,0.7518,6,0,0.0,-0.5745506169396439,-0.0,-5,-1.0,0.0,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,6.0,6.0,,6.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,49,1,1,0
0,5,-1.5270000000000001,6,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,22,1.7000000000000002,2.7,3,4,3,3,4,4,4,3,3,2,3,3,3,3,3,6.0,,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,50,1,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,1,0.7532,0,-0.3436,5,0.5119999999999996,4,1.6989999999999998,13,3.2376000000000005,0,-2.9496,1,Asian,With family (commuting),Female,1,0.7518,24,1,1.224171573024026,0.649620956084382,0.649620956084382,28,2.3,3.3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,51,2,7,1
0,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,6,1.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,70,1,5.8357752597734445,5.261224642833801,5.261224642833801,10,0.5,1.5,3,4,3,3,3,3,4,4,2,2,2,2,2,3,3,5.0,5.0,5.0,5.0,,4.0,4.0,3.0,3.0,4.0,4.0,52,2,7,1
0,6,-0.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,White,Off-campus (rent/apartment),Female,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-9,-1.4,-0.4,3,3,2,2,2,2,2,1,3,2,2,3,2,3,3,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,,4.0,4.0,53,1,1,0
1,6,-0.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,3,-1.4880000000000004,4,1.6989999999999998,13,3.2376000000000005,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,12,1,0.09781637723780907,-0.47673423970183487,-0.47673423970183487,-1,-0.6,0.4,2,2,2,4,3,4,3,3,3,3,2,3,3,2,2,5.0,,5.0,5.0,5.0,4.0,,3.0,4.0,3.0,,54,2,6,1
0,5,-1.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,2,0,0.0,-0.5745506169396439,-0.0,31,2.6,3.6,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,,5.0,55,1,2,1
0,7,0.47299999999999986,6,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,11,0,0.0,-0.5745506169396439,-0.0,-2,-0.7,0.3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,56,1,1,0
