id,archetype_id,archetype_name
253,3,Asian High-Pressure Achiever
254,1,Latina Commuter Caretaker
255,8,Multiracial Bridge-Builder
256,9,Hispanic On-Campus Transitioner
257,2,Latino Off-Campus Working
258,1,Latina Commuter Caretaker
259,1,Latina Commuter Caretaker
260,11,White Rural First-Gen
261,9,Hispanic On-Campus Transitioner
262,1,Latina Commuter Caretaker
263,1,Latina Commuter Caretaker
264,10,Continuing-Gen Cruiser
265,7,White Off-Campus Working
266,9,Hispanic On-Campus Transitioner
267,8,Multiracial Bridge-Builder
268,8,Multiracial Bridge-Builder
269,13,White Working-Class Striver
270,13,White Working-Class Striver
271,2,Latino Off-Campus Working
272,8,Multiracial Bridge-Builder
273,3,Asian High-Pressure Achiever
274,2,Latino Off-Campus Working
275,7,White Off-Campus Working
276,4,Asian First-Gen Navigator
277,1,Latina Commuter Caretaker
278,5,Black Campus Connector
279,5,Black Campus Connector
280,8,Multiracial Bridge-Builder
281,2,Latino Off-Campus Working
282,8,Multiracial Bridge-Builder
283,8,Multiracial Bridge-Builder
284,2,Latino Off-Campus Working
285,9,Hispanic On-Campus Transitioner
286,8,Multiracial Bridge-Builder
287,8,Multiracial Bridge-Builder
288,1,Latina Commuter Caretaker
289,1,Latina Commuter Caretaker
290,1,Latina Commuter Caretaker
291,13,White Working-Class Striver
292,12,Black Male Striver
293,3,Asian High-Pressure Achiever
294,3,Asian High-Pressure Achiever
295,9,Hispanic On-Campus Transitioner
296,8,Multiracial Bridge-Builder
297,1,Latina Commuter Caretaker
298,3,Asian High-Pressure Achiever
299,1,Latina Commuter Caretaker
300,2,Latino Off-Campus Working
301,1,Latina Commuter Caretaker
302,1,Latina Commuter Caretaker
303,9,Hispanic On-Campus Transitioner
304,8,Multiracial Bridge-Builder
305,9,Hispanic On-Campus Transitioner
306,13,White Working-Class Striver
307,1,Latina Commuter Caretaker
308,9,Hispanic On-Campus Transitioner
309,9,Hispanic On-Campus Transitioner
310,8,Multiracial Bridge-Builder
311,7,White Off-Campus Working
312,1,Latina Commuter Caretaker
313,9,Hispanic On-Campus Transitioner
314,2,Latino Off-Campus Working
315,13,White Working-Class Striver
316,4,Asian First-Gen Navigator
317,9,Hispanic On-Campus Transitioner
318,5,Black Campus Connector
319,1,Latina Commuter Caretaker
320,3,Asian High-Pressure Achiever
321,9,Hispanic On-Campus Transitioner
322,3,Asian High-Pressure Achiever
323,9,Hispanic On-Campus Transitioner
324,10,Continuing-Gen Cruiser
325,1,Latina Commuter Caretaker
326,10,Continuing-Gen Cruiser
327,3,Asian High-Pressure Achiever
328,12,Black Male Striver
329,7,White Off-Campus Working
330,9,Hispanic On-Campus Transitioner
331,11,White Rural First-Gen
332,9,Hispanic On-Campus Transitioner
333,11,White Rural First-Gen
334,11,White Rural First-Gen
335,3,Asian High-Pressure Achiever
336,9,Hispanic On-Campus Transitioner
337,8,Multiracial Bridge-Builder
338,1,Latina Commuter Caretaker
339,1,Latina Commuter Caretaker
340,3,Asian High-Pressure Achiever
341,1,Latina Commuter Caretaker
342,11,White Rural First-Gen
343,8,Multiracial Bridge-Builder
344,3,Asian High-Pressure Achiever
345,1,Latina Commuter Caretaker
346,3,Asian High-Pressure Achiever
347,4,Asian First-Gen Navigator
348,10,Continuing-Gen Cruiser
349,9,Hispanic On-Campus Transitioner
350,4,Asian First-Gen Navigator
351,5,Black Campus Connector
352,9,Hispanic On-Campus Transitioner
353,3,Asian High-Pressure Achiever
354,9,Hispanic On-Campus Transitioner
355,13,White Working-Class Striver
356,3,Asian High-Pressure Achiever
357,5,Black Campus Connector
358,2,Latino Off-Campus Working
359,1,Latina Commuter Caretaker
360,7,White Off-Campus Working
361,1,Latina Commuter Caretaker
362,7,White Off-Campus Working
363,1,Latina Commuter Caretaker
364,2,Latino Off-Campus Working
365,2,Latino Off-Campus Working
366,3,Asian High-Pressure Achiever
367,2,Latino Off-Campus Working
368,2,Latino Off-Campus Working
369,9,Hispanic On-Campus Transitioner
370,9,Hispanic On-Campus Transitioner
371,1,Latina Commuter Caretaker
372,9,Hispanic On-Campus Transitioner
373,9,Hispanic On-Campus Transitioner
374,4,Asian First-Gen Navigator
375,9,Hispanic On-Campus Transitioner
376,9,Hispanic On-Campus Transitioner
377,1,Latina Commuter Caretaker
378,5,Black Campus Connector
379,1,Latina Commuter Caretaker
380,4,Asian First-Gen Navigator
381,2,Latino Off-Campus Working
382,9,Hispanic On-Campus Transitioner
383,10,Continuing-Gen Cruiser
384,2,Latino Off-Campus Working
385,3,Asian High-Pressure Achiever
386,3,Asian High-Pressure Achiever
387,9,Hispanic On-Campus Transitioner
388,1,Latina Commuter Caretaker
389,1,Latina Commuter Caretaker
390,3,Asian High-Pressure Achiever
391,13,White Working-Class Striver
392,9,Hispanic On-Campus Transitioner
393,3,Asian High-Pressure Achiever
394,1,Latina Commuter Caretaker
395,8,Multiracial Bridge-Builder
396,1,Latina Commuter Caretaker
397,1,Latina Commuter Caretaker
398,5,Black Campus Connector
399,4,Asian First-Gen Navigator
400,13,White Working-Class Striver
401,1,Latina Commuter Caretaker
402,11,White Rural First-Gen
403,9,Hispanic On-Campus Transitioner
404,9,Hispanic On-Campus Transitioner
405,9,Hispanic On-Campus Transitioner
406,3,Asian High-Pressure Achiever
407,8,Multiracial Bridge-Builder
408,11,White Rural First-Gen
409,13,White Working-Class Striver
410,7,White Off-Campus Working
411,4,Asian First-Gen Navigator
412,1,Latina Commuter Caretaker
413,13,White Working-Class Striver
414,9,Hispanic On-Campus Transitioner
415,8,Multiracial Bridge-Builder
416,5,Black Campus Connector
417,11,White Rural First-Gen
418,11,White Rural First-Gen
419,10,Continuing-Gen Cruiser
420,10,Continuing-Gen Cruiser
421,1,Latina Commuter Caretaker
422,3,Asian High-Pressure Achiever
423,3,Asian High-Pressure Achiever
424,7,White Off-Campus Working
425,1,Latina Commuter Caretaker
426,1,Latina Commuter Caretaker
427,12,Black Male Striver
428,1,Latina Commuter Caretaker
429,1,Latina Commuter Caretaker
430,9,Hispanic On-Campus Transitioner
431,8,Multiracial Bridge-Builder
432,2,Latino Off-Campus Working
433,5,Black Campus Connector
434,5,Black Campus Connector
435,9,Hispanic On-Campus Transitioner
436,1,Latina Commuter Caretaker
437,9,Hispanic On-Campus Transitioner
438,9,Hispanic On-Campus Transitioner
439,4,Asian First-Gen Navigator
440,5,Black Campus Connector
441,5,Black Campus Connector
442,9,Hispanic On-Campus Transitioner
443,9,Hispanic On-Campus Transitioner
444,8,Multiracial Bridge-Builder
445,8,Multiracial Bridge-Builder
446,9,Hispanic On-Campus Transitioner
447,1,Latina Commuter Caretaker
448,3,Asian High-Pressure Achiever
449,11,White Rural First-Gen
450,8,Multiracial Bridge-Builder
451,7,White Off-Campus Working
452,9,Hispanic On-Campus Transitioner
453,10,Continuing-Gen Cruiser
454,1,Latina Commuter Caretaker
455,10,Continuing-Gen Cruiser
456,8,Multiracial Bridge-Builder
457,3,Asian High-Pressure Achiever
458,6,White Residential Traditional
459,2,Latino Off-Campus Working
460,8,Multiracial Bridge-Builder
461,1,Latina Commuter Caretaker
462,1,Latina Commuter Caretaker
463,4,Asian First-Gen Navigator
464,9,Hispanic On-Campus Transitioner
465,1,Latina Commuter Caretaker
466,3,Asian High-Pressure Achiever
467,1,Latina Commuter Caretaker
468,1,Latina Commuter Caretaker
469,2,Latino Off-Campus Working
470,10,Continuing-Gen Cruiser
471,11,White Rural First-Gen
472,3,Asian High-Pressure Achiever
473,13,White Working-Class Striver
474,9,Hispanic On-Campus Transitioner
475,1,Latina Commuter Caretaker
476,8,Multiracial Bridge-Builder
477,1,Latina Commuter Caretaker
478,1,Latina Commuter Caretaker
479,12,Black Male Striver
480,2,Latino Off-Campus Working
481,9,Hispanic On-Campus Transitioner
482,2,Latino Off-Campus Working
483,3,Asian High-Pressure Achiever
484,1,Latina Commuter Caretaker
485,3,Asian High-Pressure Achiever
486,9,Hispanic On-Campus Transitioner
487,4,Asian First-Gen Navigator
488,8,Multiracial Bridge-Builder
489,1,Latina Commuter Caretaker
490,3,Asian High-Pressure Achiever
491,9,Hispanic On-Campus Transitioner
492,2,Latino Off-Campus Working
493,3,Asian High-Pressure Achiever
494,2,Latino Off-Campus Working
495,6,White Residential Traditional
496,1,Latina Commuter Caretaker
497,11,White Rural First-Gen
498,8,Multiracial Bridge-Builder
499,1,Latina Commuter Caretaker
500,1,Latina Commuter Caretaker
501,3,Asian High-Pressure Achiever
502,9,Hispanic On-Campus Transitioner
503,2,Latino Off-Campus Working
504,3,Asian High-Pressure Achiever
505,8,Multiracial Bridge-Builder
506,8,Multiracial Bridge-Builder
507,1,Latina Commuter Caretaker
508,1,Latina Commuter Caretaker
509,1,Latina Commuter Caretaker
510,1,Latina Commuter Caretaker
511,11,White Rural First-Gen
512,8,Multiracial Bridge-Builder
513,9,Hispanic On-Campus Transitioner
514,9,Hispanic On-Campus Transitioner
515,9,Hispanic On-Campus Transitioner
516,8,Multiracial Bridge-Builder
517,9,Hispanic On-Campus Transitioner
518,3,Asian High-Pressure Achiever
519,3,Asian High-Pressure Achiever
520,9,Hispanic On-Campus Transitioner
521,10,Continuing-Gen Cruiser
522,13,White Working-Class Striver
523,9,Hispanic On-Campus Transitioner
524,1,Latina Commuter Caretaker
525,4,Asian First-Gen Navigator
526,6,White Residential Traditional
527,13,White Working-Class Striver
528,2,Latino Off-Campus Working
529,5,Black Campus Connector
530,8,Multiracial Bridge-Builder
531,7,White Off-Campus Working
532,12,Black Male Striver
533,9,Hispanic On-Campus Transitioner
534,9,Hispanic On-Campus Transitioner
535,12,Black Male Striver
536,13,White Working-Class Striver
537,9,Hispanic On-Campus Transitioner
538,9,Hispanic On-Campus Transitioner
539,3,Asian High-Pressure Achiever
540,10,Continuing-Gen Cruiser
541,9,Hispanic On-Campus Transitioner
542,12,Black Male Striver
543,3,Asian High-Pressure Achiever
544,13,White Working-Class Striver
545,10,Continuing-Gen Cruiser
546,5,Black Campus Connector
547,11,White Rural First-Gen
548,8,Multiracial Bridge-Builder
549,6,White Residential Traditional
550,1,Latina Commuter Caretaker
551,4,Asian First-Gen Navigator
552,1,Latina Commuter Caretaker
553,2,Latino Off-Campus Working
554,1,Latina Commuter Caretaker
555,9,Hispanic On-Campus Transitioner
556,8,Multiracial Bridge-Builder
557,8,Multiracial Bridge-Builder
558,9,Hispanic On-Campus Transitioner
559,3,Asian High-Pressure Achiever
560,6,White Residential Traditional
561,1,Latina Commuter Caretaker
562,2,Latino Off-Campus Working
563,3,Asian High-Pressure Achiever
564,9,Hispanic On-Campus Transitioner
565,9,Hispanic On-Campus Transitioner
566,11,White Rural First-Gen
567,9,Hispanic On-Campus Transitioner
568,9,Hispanic On-Campus Transitioner
569,9,Hispanic On-Campus Transitioner
570,4,Asian First-Gen Navigator
571,8,Multiracial Bridge-Builder
572,7,White Off-Campus Working
573,10,Continuing-Gen Cruiser
574,3,Asian High-Pressure Achiever
575,13,White Working-Class Striver
576,9,Hispanic On-Campus Transitioner
577,1,Latina Commuter Caretaker
578,9,Hispanic On-Campus Transitioner
579,10,Continuing-Gen Cruiser
580,8,Multiracial Bridge-Builder
581,11,White Rural First-Gen
582,11,White Rural First-Gen
583,8,Multiracial Bridge-Builder
584,4,Asian First-Gen Navigator
585,10,Continuing-Gen Cruiser
586,9,Hispanic On-Campus Transitioner
587,3,Asian High-Pressure Achiever
588,8,Multiracial Bridge-Builder
589,6,White Residential Traditional
590,10,Continuing-Gen Cruiser
591,8,Multiracial Bridge-Builder
592,1,Latina Commuter Caretaker
593,1,Latina Commuter Caretaker
594,8,Multiracial Bridge-Builder
595,2,Latino Off-Campus Working
596,9,Hispanic On-Campus Transitioner
597,8,Multiracial Bridge-Builder
598,3,Asian High-Pressure Achiever
599,9,Hispanic On-Campus Transitioner
600,1,Latina Commuter Caretaker
601,3,Asian High-Pressure Achiever
602,9,Hispanic On-Campus Transitioner
603,9,Hispanic On-Campus Transitioner
604,2,Latino Off-Campus Working
605,9,Hispanic On-Campus Transitioner
606,5,Black Campus Connector
607,3,Asian High-Pressure Achiever
608,10,Continuing-Gen Cruiser
609,10,Continuing-Gen Cruiser
610,4,Asian First-Gen Navigator
611,2,Latino Off-Campus Working
612,3,Asian High-Pressure Achiever
613,3,Asian High-Pressure Achiever
614,9,Hispanic On-Campus Transitioner
615,9,Hispanic On-Campus Transitioner
616,9,Hispanic On-Campus Transitioner
617,8,Multiracial Bridge-Builder
618,1,Latina Commuter Caretaker
619,13,White Working-Class Striver
620,9,Hispanic On-Campus Transitioner
621,2,Latino Off-Campus Working
622,1,Latina Commuter Caretaker
623,8,Multiracial Bridge-Builder
624,11,White Rural First-Gen
625,9,Hispanic On-Campus Transitioner
626,1,Latina Commuter Caretaker
627,1,Latina Commuter Caretaker
628,8,Multiracial Bridge-Builder
629,1,Latina Commuter Caretaker
630,5,Black Campus Connector
631,9,Hispanic On-Campus Transitioner
632,4,Asian First-Gen Navigator
633,1,Latina Commuter Caretaker
634,4,Asian First-Gen Navigator
635,2,Latino Off-Campus Working
636,2,Latino Off-Campus Working
637,2,Latino Off-Campus Working
638,1,Latina Commuter Caretaker
639,3,Asian High-Pressure Achiever
640,8,Multiracial Bridge-Builder
641,1,Latina Commuter Caretaker
642,8,Multiracial Bridge-Builder
643,2,Latino Off-Campus Working
644,13,White Working-Class Striver
645,1,Latina Commuter Caretaker
646,3,Asian High-Pressure Achiever
647,11,White Rural First-Gen
648,11,White Rural First-Gen
649,9,Hispanic On-Campus Transitioner
650,3,Asian High-Pressure Achiever
651,3,Asian High-Pressure Achiever
652,6,White Residential Traditional
653,11,White Rural First-Gen
654,1,Latina Commuter Caretaker
655,2,Latino Off-Campus Working
656,8,Multiracial Bridge-Builder
657,6,White Residential Traditional
658,1,Latina Commuter Caretaker
659,11,White Rural First-Gen
660,12,Black Male Striver
661,9,Hispanic On-Campus Transitioner
662,9,Hispanic On-Campus Transitioner
663,9,Hispanic On-Campus Transitioner
664,1,Latina Commuter Caretaker
665,1,Latina Commuter Caretaker
666,2,Latino Off-Campus Working
667,1,Latina Commuter Caretaker
668,2,Latino Off-Campus Working
669,1,Latina Commuter Caretaker
670,1,Latina Commuter Caretaker
671,13,White Working-Class Striver
672,11,White Rural First-Gen
673,8,Multiracial Bridge-Builder
674,13,White Working-Class Striver
675,1,Latina Commuter Caretaker
676,3,Asian High-Pressure Achiever
677,9,Hispanic On-Campus Transitioner
678,1,Latina Commuter Caretaker
679,5,Black Campus Connector
680,6,White Residential Traditional
681,8,Multiracial Bridge-Builder
682,8,Multiracial Bridge-Builder
683,1,Latina Commuter Caretaker
684,9,Hispanic On-Campus Transitioner
685,8,Multiracial Bridge-Builder
686,1,Latina Commuter Caretaker
687,9,Hispanic On-Campus Transitioner
688,1,Latina Commuter Caretaker
689,3,Asian High-Pressure Achiever
690,10,Continuing-Gen Cruiser
691,2,Latino Off-Campus Working
692,1,Latina Commuter Caretaker
693,4,Asian First-Gen Navigator
694,1,Latina Commuter Caretaker
695,1,Latina Commuter Caretaker
696,9,Hispanic On-Campus Transitioner
697,8,Multiracial Bridge-Builder
698,3,Asian High-Pressure Achiever
699,1,Latina Commuter Caretaker
700,3,Asian High-Pressure Achiever
701,8,Multiracial Bridge-Builder
702,1,Latina Commuter Caretaker
703,1,Latina Commuter Caretaker
704,8,Multiracial Bridge-Builder
705,2,Latino Off-Campus Working
706,13,White Working-Class Striver
707,1,Latina Commuter Caretaker
708,1,Latina Commuter Caretaker
709,4,Asian First-Gen Navigator
710,1,Latina Commuter Caretaker
711,8,Multiracial Bridge-Builder
712,3,Asian High-Pressure Achiever
713,9,Hispanic On-Campus Transitioner
714,4,Asian First-Gen Navigator
715,3,Asian High-Pressure Achiever
716,9,Hispanic On-Campus Transitioner
717,3,Asian High-Pressure Achiever
718,9,Hispanic On-Campus Transitioner
719,8,Multiracial Bridge-Builder
720,2,Latino Off-Campus Working
721,1,Latina Commuter Caretaker
722,4,Asian First-Gen Navigator
723,11,White Rural First-Gen
724,9,Hispanic On-Campus Transitioner
725,11,White Rural First-Gen
726,1,Latina Commuter Caretaker
727,2,Latino Off-Campus Working
728,9,Hispanic On-Campus Transitioner
729,1,Latina Commuter Caretaker
730,1,Latina Commuter Caretaker
731,3,Asian High-Pressure Achiever
732,2,Latino Off-Campus Working
733,3,Asian High-Pressure Achiever
734,1,Latina Commuter Caretaker
735,1,Latina Commuter Caretaker
736,1,Latina Commuter Caretaker
737,9,Hispanic On-Campus Transitioner
738,9,Hispanic On-Campus Transitioner
739,13,White Working-Class Striver
740,9,Hispanic On-Campus Transitioner
741,5,Black Campus Connector
742,9,Hispanic On-Campus Transitioner
743,9,Hispanic On-Campus Transitioner
744,1,Latina Commuter Caretaker
745,9,Hispanic On-Campus Transitioner
746,4,Asian First-Gen Navigator
747,8,Multiracial Bridge-Builder
748,8,Multiracial Bridge-Builder
749,13,White Working-Class Striver
750,1,Latina Commuter Caretaker
751,1,Latina Commuter Caretaker
752,4,Asian First-Gen Navigator
753,3,Asian High-Pressure Achiever
754,1,Latina Commuter Caretaker
755,4,Asian First-Gen Navigator
756,3,Asian High-Pressure Achiever
757,1,Latina Commuter Caretaker
758,8,Multiracial Bridge-Builder
759,9,Hispanic On-Campus Transitioner
760,1,Latina Commuter Caretaker
761,7,White Off-Campus Working
762,11,White Rural First-Gen
763,6,White Residential Traditional
764,10,Continuing-Gen Cruiser
765,9,Hispanic On-Campus Transitioner
766,13,White Working-Class Striver
767,11,White Rural First-Gen
768,1,Latina Commuter Caretaker
769,11,White Rural First-Gen
770,3,Asian High-Pressure Achiever
771,1,Latina Commuter Caretaker
772,2,Latino Off-Campus Working
773,9,Hispanic On-Campus Transitioner
774,8,Multiracial Bridge-Builder
775,11,White Rural First-Gen
776,8,Multiracial Bridge-Builder
777,3,Asian High-Pressure Achiever
778,1,Latina Commuter Caretaker
779,11,White Rural First-Gen
780,1,Latina Commuter Caretaker
781,9,Hispanic On-Campus Transitioner
782,13,White Working-Class Striver
783,8,Multiracial Bridge-Builder
784,3,Asian High-Pressure Achiever
785,1,Latina Commuter Caretaker
786,3,Asian High-Pressure Achiever
787,8,Multiracial Bridge-Builder
788,1,Latina Commuter Caretaker
789,3,Asian High-Pressure Achiever
790,7,White Off-Campus Working
791,2,Latino Off-Campus Working
792,3,Asian High-Pressure Achiever
793,3,Asian High-Pressure Achiever
794,1,Latina Commuter Caretaker
795,3,Asian High-Pressure Achiever
796,8,Multiracial Bridge-Builder
797,1,Latina Commuter Caretaker
798,10,Continuing-Gen Cruiser
799,11,White Rural First-Gen
800,1,Latina Commuter Caretaker
801,1,Latina Commuter Caretaker
802,8,Multiracial Bridge-Builder
803,8,Multiracial Bridge-Builder
804,7,White Off-Campus Working
805,4,Asian First-Gen Navigator
806,8,Multiracial Bridge-Builder
807,1,Latina Commuter Caretaker
808,4,Asian First-Gen Navigator
809,10,Continuing-Gen Cruiser
810,8,Multiracial Bridge-Builder
811,1,Latina Commuter Caretaker
812,3,Asian High-Pressure Achiever
813,9,Hispanic On-Campus Transitioner
814,1,Latina Commuter Caretaker
815,9,Hispanic On-Campus Transitioner
